t,mode,dist,speed,cmd_speed,x,y
7.617,1,19.877,7.510,900.000,820.16,189.51
7.633,1,19.796,7.318,900.000,820.04,189.51
7.650,1,19.718,7.136,900.000,819.92,189.51
7.667,1,19.642,6.962,900.000,819.81,189.51
7.683,1,19.568,6.796,900.000,819.69,189.51
7.700,1,19.495,6.637,900.000,819.58,189.51
7.717,1,19.425,6.484,900.000,819.47,189.51
7.733,1,19.356,6.337,900.000,819.37,189.51
7.750,1,19.289,6.196,900.000,819.27,189.51
7.767,1,19.223,6.060,900.000,819.16,189.51
7.783,1,19.159,5.929,900.000,819.07,189.51
7.800,1,19.096,5.803,900.000,818.97,189.51
7.817,1,19.035,5.681,900.000,818.87,189.51
7.833,1,18.975,5.563,900.000,818.78,189.51
7.850,1,18.916,5.449,900.000,818.69,189.51
7.867,1,18.859,5.339,900.000,818.60,189.51
7.883,1,18.803,5.233,900.000,818.51,189.51
7.900,1,18.748,5.130,900.000,818.43,189.51
7.917,1,18.694,5.030,900.000,818.35,189.51
7.933,1,18.642,4.933,900.000,818.26,189.51
7.950,1,18.590,4.839,900.000,818.18,189.51
7.967,1,18.539,4.748,900.000,818.10,189.51
7.983,1,18.490,4.660,900.000,818.03,189.51
8.000,1,18.441,4.574,900.000,817.95,189.51
8.017,1,18.394,4.491,900.000,817.87,189.51
8.033,1,18.347,4.410,900.000,817.80,189.51
8.050,1,18.301,4.331,900.000,817.73,189.51
8.067,1,18.256,4.254,900.000,817.66,189.51
8.083,1,18.212,4.180,900.000,817.59,189.51
8.100,1,18.169,4.107,900.000,817.52,189.51
8.117,1,18.126,4.036,900.000,817.45,189.51
8.133,1,18.084,3.967,900.000,817.39,189.51
8.150,1,18.043,3.900,900.000,817.32,189.51
8.167,1,18.003,3.835,900.000,817.26,189.51
8.183,1,17.964,3.771,900.000,817.19,189.51
8.200,1,17.925,3.709,900.000,817.13,189.51
8.217,1,17.887,3.648,900.000,817.07,189.51
8.233,1,17.849,3.589,900.000,817.01,189.51
8.250,1,17.812,3.531,900.000,816.95,189.51
8.267,1,17.776,3.474,900.000,816.90,189.51
8.283,1,17.740,3.419,900.000,816.84,189.51
8.300,1,17.705,3.365,900.000,816.78,189.51
8.317,1,17.671,3.312,900.000,816.73,189.51
8.333,1,17.637,3.261,900.000,816.67,189.51
8.350,1,17.604,3.210,900.000,816.62,189.51
8.367,1,17.571,3.161,900.000,816.57,189.51
8.383,1,17.539,3.113,900.000,816.51,189.51
8.400,1,17.538,2.935,900.000,816.48,189.54
8.417,1,17.543,3.031,900.000,816.44,189.58
8.433,1,17.577,2.922,900.000,816.43,189.62
8.450,1,17.616,3.075,900.000,816.43,189.68
8.467,1,17.658,3.153,900.000,816.43,189.73
8.483,1,17.700,3.216,900.000,816.43,189.78
8.500,1,17.743,3.279,900.000,816.43,189.84
8.517,1,17.786,3.342,900.000,816.43,189.89
8.533,1,17.831,3.407,900.000,816.43,189.95
8.550,1,17.877,3.474,900.000,816.43,190.01
8.567,1,17.923,3.543,900.000,816.43,190.07
8.583,1,17.971,3.614,900.000,816.43,190.13
8.600,1,18.019,3.686,900.000,816.43,190.19
8.617,1,18.069,3.761,900.000,816.43,190.25
8.633,1,18.119,3.838,900.000,816.43,190.31
8.650,1,18.171,3.917,900.000,816.43,190.38
8.667,1,18.223,3.999,900.000,816.43,190.45
8.683,1,18.277,4.083,900.000,816.43,190.51
8.700,1,18.332,4.169,900.000,816.43,190.58
8.717,1,18.388,4.258,900.000,816.43,190.66
8.733,1,18.446,4.350,900.000,816.43,190.73
8.750,1,18.505,4.445,900.000,816.43,190.80
